briton
k_briton;Britain;;;;;;;;;x
k_briton_adj;Briton;;;;;;;;;x
form_briton;Reclaim Lloegyr;;;;;;;;;;;;;x;
form_briton_desc; King at Last;;;;;;;;;x
king_of_the_britons;Legendary Blood of [Root.GetFirstName];;;;;;;;;;;;;x
king_of_the_britons;The Great King pushed the Saxons back to the see and reclaimed Lloeyr;;;;;;;;;;;;;x
high_king;High King;;;;;;;;;;;;;x;
high_queen;High Queen;;;;;;;;;;;;;x;
k_cumbria;Cumbria;;;;;;;;;x
k_cumbria_adj;Cumbrian;;;;;;;;;x




























































####Cultures
cumbrian;Cumbrian;;;;;;;;;;;;;x;
cornish;Cornish;;;;;;;;;;;;;x;
irish_norse;Norse-Gael;;;;;;;;;;;;;x;
anglo_norse;Anglo-Norse;;;;;;;;;;;;;x;
manx;Manx;;;;;;;;;;;;;x;
